product_id,retailer,raw_name,brand,category_raw,price,unit_price,promo_text,amount,unit,pack_count,is_organic,is_private_label,url,scraped_at,estimated_cost
tg_0001,target,Good & Gather Organic Whole Milk 1 Gal,Good & Gather,Milk & Cream,6.2,6.2,Circle deal,1.0,gal,1,True,True,https://example.com/target/products/tg_0001,2026-05-08T10:52:00,4.27
tg_0002,target,"Good & Gather Whole Milk, 1 Gallon",Good & Gather,Milk & Cream,4.53,4.53,BOGO 50% off,1.0,gal,1,False,True,https://example.com/target/products/tg_0002,2026-05-08T09:44:00,3.46
tg_0003,target,Good & Gather Unsweetened Almond Milk 64 fl oz,Good & Gather,Plant-Based,3.37,0.0527,,64.0,fl oz,1,False,True,https://example.com/target/products/tg_0003,2026-05-08T07:45:00,2.41
tg_0004,target,Good & Gather 0at Mlk 64 fI oz,Good & Gather,Plant-Based,4.01,0.0627,Circle deal,64.0,fl oz,1,False,True,https://example.com/target/products/tg_0004,2026-05-08T06:54:00,2.45
tg_0005,target,Good & Gather Cage-Free Large Brown Grade A Eggs - 1 Dozen,Good & Gather,Dairy & Eggs,4.28,,BOGO 50% off,1.0,dozen,1,False,True,https://example.com/target/products/tg_0005,2026-05-08T05:46:00,2.82
tg_0006,target,Good & Gather Organic Cage-Free Grade A Large Brown Eggs - 1 Dozen,Good & Gather,Dairy & Eggs,6.69,6.69,BOGO 50% off,1.0,dozen,1,True,True,https://example.com/target/products/tg_0006,2026-05-08T04:38:00,4.04
tg_0007,target,Market Pantry Classic White Bread - 20oz,Market Pantry,Bakery,2.37,,BOGO 50% off,20.0,oz,1,False,True,https://example.com/target/products/tg_0007,2026-05-08T03:30:00,1.43
tg_0008,target,Market Pantry 100% Whole Wheat Bread 20 oz,Market Pantry,Bakery,3.28,,,20.0,oz,1,False,True,https://example.com/target/products/tg_0008,2026-05-08T02:39:00,1.96
tg_0009,target,Good & Gather Creamy Peanut Butter 16 oz,Good & Gather,Pantry,3.1,,Circle deal,16.0,oz,1,False,True,https://example.com/target/products/tg_0009,2026-05-08T01:31:00,1.77
tg_0010,target,C1rcle deal Good & Gather Re$taurant Style Tortilla Ch1ps 13oz,Good & Gather,Snacks,3.54,,Circle deal,13.0,oz,1,False,True,https://example.com/target/products/tg_0010,2026-05-08T00:23:00,2.59
tg_0011,target,Market Pantry Pepperoni Frozen Pizza 12in,Market Pantry,Frozen,4.38,0.365,BOGO 50% off,12.0,oz,1,False,True,https://example.com/target/products/tg_0011,2026-05-07T23:32:00,3.4
tg_0012,target,Good & Gather Organic Gala Apples - 3lb Bag,Good & Gather,Fresh Produce,7.06,,Save $1,3.0,lb,1,True,True,https://example.com/target/products/tg_0012,2026-05-07T22:24:00,4.77
tg_0013,target,Good & Gather Lime Sparkling Water 8 Pack 12 fl oz Cans,Good & Gather,Beverages,3.59,,,12.0,fl oz,8,False,True,https://example.com/target/products/tg_0013,2026-05-07T21:16:00,2.36
tg_0014,target,Good & Gather Organic Baby Spinach 5oz,Good & Gather,Fresh Produce,4.68,0.936,Save 20%,5.0,oz,1,True,True,https://example.com/target/products/tg_0014,2026-05-07T20:25:00,3.1
tg_0015,target,Good & Gather Plain Whole Milk Greek Yogurt - 32oz,Good & Gather,Dairy & Eggs,5.21,,Save 20%,32.0,oz,1,False,True,https://example.com/target/products/tg_0015,2026-05-07T19:17:00,3.19
tg_0016,target,Good & Gather Unsalted Sweet Cream Butter Sticks - 1 lb,Good & Gather,Dairy & Eggs,4.56,1.14,Save 20%,1.0,lb,4,False,True,https://example.com/target/products/tg_0016,2026-05-07T18:09:00,2.88
tg_0017,target,Good & Gather Mild Cheddar Shredded Cheese - 8oz,Good & Gather,Dairy & Eggs,3.54,0.4425,Save $1,8.0,oz,1,False,True,https://example.com/target/products/tg_0017,2026-05-07T17:18:00,2.7
tg_0018,target,Good & Gather Black Beans 15oz,Good & Gather,Pantry,1.17,0.078,Save $1,15.0,oz,1,False,True,https://example.com/target/products/tg_0018,2026-05-07T16:10:00,0.82
tg_0019,target,Market Pantry Condensed Tomato Soup 10.75 oz,Market Pantry,Pantry,1.54,0.1433,,10.75,oz,1,False,True,https://example.com/target/products/tg_0019,2026-05-07T15:19:00,1.06
tg_0020,target,Good & Gather Long Grain White Rice - 5lb,Good & Gather,Pantry,6.67,1.334,BOGO 50% off,5.0,lb,1,False,True,https://example.com/target/products/tg_0020,2026-05-07T14:28:00,4.08
tg_0021,target,G0od & Gather Spaghetti - 16oz,Good & Gather,Pantry,1.56,0.0975,Circle deal,16.0,oz,1,False,True,https://example.com/target/products/tg_0021,2026-05-07T13:20:00,1.2
tg_0022,target,Good & Gather 100% Orange Juice No Pulp 52 fl oz,Good & Gather,Beverages,4.08,0.0785,,52.0,fl oz,1,False,True,https://example.com/target/products/tg_0022,2026-05-07T12:29:00,2.76
tg_0023,target,Good & Gather Cut & Peeled Baby Carrots - 1lb,Good & Gather,Fresh Produce,2.36,2.36,,1.0,lb,1,False,True,https://example.com/target/products/tg_0023,2026-05-07T11:38:00,1.46
tg_0024,target,Market Pantry Original Cream Cheese - 8oz,Market Pantry,Dairy & Eggs,2.67,,BOGO 50% off,8.0,oz,1,False,True,https://example.com/target/products/tg_0024,2026-05-07T10:47:00,1.94
tg_0025,target,Good & Gather Extra Virgin Olive Oil - 17 fl oz,Good & Gather,Pantry,7.97,,Circle deal,17.0,fl oz,1,False,True,https://example.com/target/products/tg_0025,2026-05-07T09:39:00,4.82
tg_0026,target,Good & Gather Pure Honey 12oz Squeeze Bottle,Good & Gather,Pantry,5.55,,,12.0,oz,1,False,True,https://example.com/target/products/tg_0026,2026-05-07T08:48:00,3.41
tg_0027,target,Coca-Cola Zero Sugar 12 Pack 12oz Cans,Coca-Cola,Beverages,9.63,,Save 20%,12.0,fl oz,12,False,False,https://example.com/target/products/tg_0027,2026-05-07T07:40:00,7.47
tg_0028,target,BOGO 50% off Coca-Cola Zero Sugar 6 Pack 12oz Cans,Coca-Cola,Beverages,5.87,,BOGO 50% off,12.0,fl oz,6,False,False,https://example.com/target/products/tg_0028,2026-05-07T06:49:00,3.81
tg_0029,target,Coca-Cola 12 Pack 12oz Cans,Coca-Cola,Beverages,10.4,,Circle deal,12.0,fl oz,12,False,False,https://example.com/target/products/tg_0029,2026-05-07T05:41:00,6.63
tg_0030,target,Circle deal Coca-Cola - 2 L Bottle,Coca-Cola,Beverages,2.73,,Circle deal,2.0,liter,1,False,False,https://example.com/target/products/tg_0030,2026-05-07T04:50:00,1.59
tg_0031,target,Diet Coke 12 Pack 12oz Cans,Coca-Cola,Beverages,8.67,,Circle deal,12.0,fl oz,12,False,False,https://example.com/target/products/tg_0031,2026-05-07T03:59:00,6.12
tg_0032,target,Sprite 12 Pack 12oz Cans,Sprite,Beverages,9.91,0.0688,BOGO 50% off,12.0,fl oz,12,False,False,https://example.com/target/products/tg_0032,2026-05-07T03:08:00,7.33
tg_0033,target,Pepsi 12 Pack 12oz Cans,Pepsi,Beverages,9.58,,Save 20%,12.0,fl oz,12,False,False,https://example.com/target/products/tg_0033,2026-05-07T02:17:00,6.79
tg_0034,target,BOGO 50% off LaCroix Lime Sparkling Water 8 Pack 12oz Cans,LaCroix,Beverages,4.78,0.0498,BOGO 50% off,12.0,fl oz,8,False,False,https://example.com/target/products/tg_0034,2026-05-07T01:09:00,2.63
tg_0035,target,Save $1 LaCroix Lime Sparkling Water 12 Pack 12oz,LaCroix,Beverages,6.42,0.0446,Save $1,12.0,fl oz,12,False,False,https://example.com/target/products/tg_0035,2026-05-07T00:18:00,4.44
tg_0036,target,LaCroix Pamplemousse Sparkling Water 8 Pack 12oz,LaCroix,Beverages,4.82,0.0502,BOGO 50% off,12.0,fl oz,8,False,False,https://example.com/target/products/tg_0036,2026-05-06T23:27:00,3.13
tg_0037,target,S1Ik Unsweetened Almondmilk - 64 fl oz,Silk,Plant-Based,4.36,0.0681,Save $1,64.0,fl oz,1,False,False,https://example.com/target/products/tg_0037,2026-05-06T22:19:00,2.91
tg_0038,target,Silk Original Soymilk - 64 fl oz,Silk,Plant-Based,4.82,0.0753,Save $1,64.0,fl oz,1,False,False,https://example.com/target/products/tg_0038,2026-05-06T21:28:00,3.38
tg_0039,target,Oatly Original Oat Milk - 64 fl oz,Oatly,Plant-Based,6.28,0.0981,Save $1,64.0,fl oz,1,False,False,https://example.com/target/products/tg_0039,2026-05-06T20:37:00,4.82
tg_0040,target,OatIy Barista Edition OatmiIk - 32 fl oz,Oatly,Plant-Based,5.69,0.1778,,32.0,fl oz,1,False,False,https://example.com/target/products/tg_0040,2026-05-06T19:46:00,3.65
tg_0041,target,Horizon Organic Whole Milk - 0.5 Gal,Horizon Organic,Milk & Cream,5.16,10.32,BOGO 50% off,0.5,gal,1,True,False,https://example.com/target/products/tg_0041,2026-05-06T18:38:00,2.93
tg_0042,target,Horizon Organic 2% Reduced Fat Milk - 1 Gal,Horizon Organic,Milk & Cream,7.89,7.89,Circle deal,1.0,gal,1,True,False,https://example.com/target/products/tg_0042,2026-05-06T17:47:00,6.14
tg_0043,target,Fairlife Lactose Free 2% Reduced Fat Ultra Filtered Milk - 52 fl oz,Fairlife,Milk & Cream,4.79,0.0921,BOGO 50% off,52.0,fl oz,1,False,False,https://example.com/target/products/tg_0043,2026-05-06T16:56:00,3.7
tg_0044,target,Chobani Blueberry on the Bottom Nonfat Greek Yogurt - 5.3oz,Chobani,Dairy & Eggs,1.49,,,5.3,oz,1,False,False,https://example.com/target/products/tg_0044,2026-05-06T15:48:00,1.05
tg_0045,target,Chobani Blueberry Nonfat Greek Yogurt 4 Pack - 5.3oz Cups,Chobani,Dairy & Eggs,6.12,0.2887,,5.3,oz,4,False,False,https://example.com/target/products/tg_0045,2026-05-06T14:57:00,3.88
tg_0046,target,Chobani Strawberry on the Bottom Nonfat Greek Yogurt - 5.3oz,Chobani,Dairy & Eggs,1.65,,,5.3,oz,1,False,False,https://example.com/target/products/tg_0046,2026-05-06T13:49:00,1.06
tg_0047,target,BOGO 50% off FAGE Total Plain Whole Milk Greek Yogurt - 35.3oz,FAGE,Dairy & Eggs,7.79,0.2207,BOGO 50% off,35.3,oz,1,False,False,https://example.com/target/products/tg_0047,2026-05-06T12:58:00,5.23
tg_0048,target,Cheerios Orig1nal Breakfast CereI - 12oz,Cheerios,Breakfast,4.44,0.37,,12.0,oz,1,False,False,https://example.com/target/products/tg_0048,2026-05-06T11:50:00,3.41
tg_0049,target,Honey Nut Cheerios Breakfast Cereal - 10.8oz,Cheerios,Breakfast,4.78,,,10.8,oz,1,False,False,https://example.com/target/products/tg_0049,2026-05-06T10:59:00,3.51
tg_0050,target,Frosted Flakes Breakfast Cereal - 13.5oz - Kellogg's,Kellogg's,Breakfast,5.44,,Circle deal,13.5,oz,1,False,False,https://example.com/target/products/tg_0050,2026-05-06T10:08:00,3.83
tg_0051,target,Tostitos Scoops! Tortilla Chips - 10oz,Tostitos,Snacks,4.93,0.493,Save $1,10.0,oz,1,False,False,https://example.com/target/products/tg_0051,2026-05-06T08:26:00,2.87
tg_0052,target,Doritos Nacho Cheese Tortilla Chips - 9.25oz,Doritos,Snacks,4.91,0.5308,,9.25,oz,1,False,False,https://example.com/target/products/tg_0052,2026-05-06T07:35:00,3.28
tg_0053,target,Lay's Classic Potato Chips - 8oz,Lay's,Snacks,5.0,,BOGO 50% off,8.0,oz,1,False,False,https://example.com/target/products/tg_0053,2026-05-06T06:44:00,3.7
tg_0054,target,Save 20% Oreo Chocolate Sandwich Cookies - 14.3oz,Oreo,Snacks,4.16,,Save 20%,14.3,oz,1,False,False,https://example.com/target/products/tg_0054,2026-05-06T05:53:00,2.69
tg_0055,target,Circle deal Ritz Original Crackers - 13.7oz,Ritz,Snacks,4.95,,Circle deal,13.7,oz,1,False,False,https://example.com/target/products/tg_0055,2026-05-06T05:02:00,2.73
tg_0056,target,Cheez-It Original Baked Snack Crackers - 12.4oz,Cheez-It,Snacks,5.07,0.4089,BOGO 50% off,12.4,oz,1,False,False,https://example.com/target/products/tg_0056,2026-05-06T04:11:00,3.18
tg_0057,target,Skippy Creamy Peanut Butter - 16.3oz,Skippy,Pantry,3.76,0.2307,Save $1,16.3,oz,1,False,False,https://example.com/target/products/tg_0057,2026-05-06T03:20:00,2.55
tg_0058,target,Jif Creamy Peanut Butter - 16oz,Jif,Pantry,3.54,0.2213,Save $1,16.0,oz,1,False,False,https://example.com/target/products/tg_0058,2026-05-06T02:12:00,2.28
tg_0059,target,Heinz Tomato Ketchup - 20oz,Heinz,Pantry,3.92,,Save $1,20.0,oz,1,False,False,https://example.com/target/products/tg_0059,2026-05-06T01:21:00,2.33
tg_0060,target,Hellmann's Real Mayonnaise - 30oz,Hellmann's,Pantry,7.11,0.237,Save 20%,30.0,oz,1,False,False,https://example.com/target/products/tg_0060,2026-05-06T00:30:00,5.08
tg_0061,target,Kraft Original Macaroni & Cheese - 7.25oz,Kraft,Pantry,1.47,0.2028,,7.25,oz,1,False,False,https://example.com/target/products/tg_0061,2026-05-05T23:39:00,0.85
tg_0062,target,Barilla Spaghetti Pasta - 16oz,Barilla,Pantry,2.16,,Save 20%,16.0,oz,1,False,False,https://example.com/target/products/tg_0062,2026-05-05T22:31:00,1.21
tg_0063,target,Rao's H0memade Marinara Sauce - 24oz,Rao's,Pantry,8.73,,Circle deal,24.0,oz,1,False,False,https://example.com/target/products/tg_0063,2026-05-05T21:40:00,5.08
